Artist Name,Track Name,Cover Art URL,Genre
Pritam,"Leke Prabhu Ka Naam (From ""Tiger 3"")",https://i.scdn.co/image/ab67616d0000b27397cf0575b0564a2aaa09fafb,"filmi, indian instrumental, modern bollywood"
Anirudh Ravichander,"Chaleya (From ""Jawan"")",https://i.scdn.co/image/ab67616d0000b27360dbbb589dff0c57a3a4ffb2,"desi hip hop, filmi, tamil hip hop"
Jasleen Royal,Heeriye (feat. Arijit Singh),https://i.scdn.co/image/ab67616d0000b2734a60872ae145776164540a7f,"filmi, indian singer-songwriter, modern bollywood"
Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",https://i.scdn.co/image/ab67616d0000b273a363fadc8b0dfbeea80b240a,"filmi, indian instrumental, modern bollywood"
Raghav Chaitanya,"Hua Main (From ""ANIMAL"")",https://i.scdn.co/image/ab67616d0000b273ac2f40efa7f20f169acfb46f,"desi pop, indian indie, indian singer-songwriter"
Sachet Tandon,Malang Sajna,https://i.scdn.co/image/ab67616d0000b273e4be675de3a03b2ad2552c6d,"desi pop, filmi, modern bollywood"
Darshan Raval,Mahiye Jinna Sohna,https://i.scdn.co/image/ab67616d0000b273cc36bc60d9ce49e5f00fb382,"desi pop, filmi, gujarati pop, modern bollywood"
AUR,Tu hai kahan,https://i.scdn.co/image/ab67616d0000b2733fb3fb3086a40c2c5062501d,urdu hip hop
Anirudh Ravichander,Not Ramaiya Vastavaiya,https://i.scdn.co/image/ab67616d0000b273e452a6e11147f3e56aee6f5b,"desi hip hop, filmi, tamil hip hop"
Vishal Mishra,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",https://i.scdn.co/image/ab67616d0000b2736624811ee1d8d7ccf5fadb80,"desi pop, filmi, modern bollywood"
King,Sarkaare,https://i.scdn.co/image/ab67616d0000b273fdc360dbd3215f9078f743cf,"desi pop, hindi hip hop"
Sachin-Jigar,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",https://i.scdn.co/image/ab67616d0000b273b5e6c9ce5bb77c1607780315,"filmi, gujarati pop, modern bollywood"
Rajat Nagpal,Hum Toh Deewane,https://i.scdn.co/image/ab67616d0000b27306cc54d42c5b235da21d2604,"desi pop, modern bollywood, punjabi pop"
Pritam,"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",https://i.scdn.co/image/ab67616d0000b27327725fe05e8b7a4e99cd15da,"filmi, indian instrumental, modern bollywood"
Pritam,Tere Pyaar Mein,https://i.scdn.co/image/ab67616d0000b273fdd4cc7defb987b4c3aa2d9e,"filmi, indian instrumental, modern bollywood"
Vishal-Shekhar,Jhoome Jo Pathaan,https://i.scdn.co/image/ab67616d0000b2737d46ff19532fdba734bfd4e0,"filmi, modern bollywood"
Sachin-Jigar,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",https://i.scdn.co/image/ab67616d0000b2735a5d10c4aaf47bd743df4ed9,"filmi, gujarati pop, modern bollywood"
Denny,Chale Jaana Phir (Humko Tere Bina),https://i.scdn.co/image/ab67616d0000b2730be9c2af1d9fb65b8905c14e,N/A
Suzonn,Farq hai,https://i.scdn.co/image/ab67616d0000b27341457657dfc4e6268ae82b98,"indian indie, indian singer-songwriter"
Mithoon,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")",https://i.scdn.co/image/ab67616d0000b273ac6d871a6dd79e8664e8ae46,"filmi, modern bollywood"
Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",https://i.scdn.co/image/ab67616d0000b27383e569e0fa43464cb8525561,"filmi, indian instrumental, modern bollywood"
Javed-Mohsin,Zihaal e Miskin,https://i.scdn.co/image/ab67616d0000b27373b0435dbfea11043c2909b8,"desi pop, modern bollywood"
B Praak,Kya Loge Tum,https://i.scdn.co/image/ab67616d0000b2731456f0ff9d07401efe0b1d4a,"desi pop, filmi, punjabi pop"
Pritam,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",https://i.scdn.co/image/ab67616d0000b27394372cad202652e52a5c3a0e,"filmi, indian instrumental, modern bollywood"
Pritam,"O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",https://i.scdn.co/image/ab67616d0000b2732a733a9eeabca1a5fb50312b,"filmi, indian instrumental, modern bollywood"
Darshan Raval,Lo Aayi Barsaat,https://i.scdn.co/image/ab67616d0000b27382301e761523eab58e583a19,"desi pop, filmi, gujarati pop, modern bollywood"
Payal Dev,"Naseeb Se (From ""Satyaprem Ki Katha"")",https://i.scdn.co/image/ab67616d0000b2739b8fac721bb7d03925e3d73e,"desi pop, filmi, modern bollywood"
Anirudh Ravichander,"Zinda Banda (From ""Jawan"")",https://i.scdn.co/image/ab67616d0000b273ba6042c947642a3add33c36c,"desi hip hop, filmi, tamil hip hop"
Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",https://i.scdn.co/image/ab67616d0000b27313d49ed65bac50bf72524091,"filmi, modern bollywood"
Raghav,Desperado,https://i.scdn.co/image/ab67616d0000b27369351ab5ece8115fc2924fac,hindi indie
Badshah,Sanak,https://i.scdn.co/image/ab67616d0000b27374567e1ea8de537e6e4500fc,"desi hip hop, desi trap, filmi, modern bollywood"
Sachet Tandon,Deewani,https://i.scdn.co/image/ab67616d0000b273b8a6b18ae389a660007956ea,"desi pop, filmi, modern bollywood"
Mohit Chauhan,Rang Lageya,https://i.scdn.co/image/ab67616d0000b2731dda544f66f0eef95f7168ee,"filmi, modern bollywood"
Anubha Bajaj,Lamhey,https://i.scdn.co/image/ab67616d0000b2735263b68a320f2ca13bc6ff20,desi pop
Kaifi Khalil,Kahani Suno 2.0,https://i.scdn.co/image/ab67616d0000b2734697d4ee22b3f63c17a3b9ec,"balochi pop, pakistani pop"
Vishal Mishra,Manjha,https://i.scdn.co/image/ab67616d0000b273dea88e870d30a4da51065bf5,"desi pop, filmi, modern bollywood"
Yohani,"Manike (From ""Thank God"")",https://i.scdn.co/image/ab67616d0000b273377b9c9d7c0eb54633f1256a,"desi pop, sinhala indie"
Sachin-Jigar,Paisa Hai Toh,https://i.scdn.co/image/ab67616d0000b273bc66d88cc487732b6ba141b8,"filmi, gujarati pop, modern bollywood"
Pritam,"Kesariya (From ""Brahmastra"")",https://i.scdn.co/image/ab67616d0000b273c08202c50371e234d20caf62,"filmi, indian instrumental, modern bollywood"
Pritam,Tere Hawaale,https://i.scdn.co/image/ab67616d0000b27376dc8d3922fc92d099bf55d2,"filmi, indian instrumental, modern bollywood"
Jasleen Royal,Ranjha,https://i.scdn.co/image/ab67616d0000b273ab827cdec4b3fc1b02bfdb1e,"filmi, indian singer-songwriter, modern bollywood"
Asees Kaur,Tu Mile Dil Khile,https://i.scdn.co/image/ab67616d0000b27363284eb7892240a22df3f262,"desi pop, filmi, modern bollywood"
Rito Riba,Heer Ranjha,https://i.scdn.co/image/ab67616d0000b27334472e447b15328c15503e86,arunachal indie
Aditya A,Chaand Baaliyan,https://i.scdn.co/image/ab67616d0000b273ec4ecaa0fcf68c0966f21514,"desi pop, hindi indie, modern bollywood"
Tanishk Bagchi,"Raataan Lambiyan (From ""Shershaah"")",https://i.scdn.co/image/ab67616d0000b273a75c2f26913099a420050f01,"desi pop, filmi, modern bollywood"
Kanishk Seth,"Rangisari (From ""Jugjugg Jeeyo"")",https://i.scdn.co/image/ab67616d0000b273989726f025d1225922ae7eb5,"desi pop, hindi indie, indian indie, modern bollywood"
Badshah,Jugnu,https://i.scdn.co/image/ab67616d0000b273efe374ffabeb543840dee228,"desi hip hop, desi trap, filmi, modern bollywood"
Neeti Mohan,Meri Jaan,https://i.scdn.co/image/ab67616d0000b273849a77e578629c6a5872a5e8,"filmi, modern bollywood"
King,Tu Aake Dekhle,https://i.scdn.co/image/ab67616d0000b273e0fc847e272a9bf7a04643da,"desi pop, hindi hip hop"
Gaurav Chatterji,"Kaise Ab Kahein - From ""Gutar Gu""",https://i.scdn.co/image/ab67616d0000b273f17c959db73a5c53ddc903e9,N/A
