Artist Name,Track Name,Cover Art URL,Genre
Johann Sebastian Bach,"The Well-Tempered Clavier / Book 1, BWV 846-869 / Prelude & Fugue in C Major, BWV 846: I. Prelude - Upright Piano",https://i.scdn.co/image/ab67616d0000b27366e054d07167acf2570d96cd,"baroque, classical, early music, german baroque"
Arvo Pärt,Sequentia,https://i.scdn.co/image/ab67616d0000b2732dc9b9a0d2210037c69213d5,"21st century classical, baltic classical, classical, compositional ambient, contemporary classical, minimalism"
Antonio Vivaldi,"Concerto for 3 Violins in F Major, RV 551: III. Allegro",https://i.scdn.co/image/ab67616d0000b2732d57fca430483e6370829fbb,"baroque, classical, early music, italian baroque"
Giacomo Puccini,Suor Angelica: Intermezzo,https://i.scdn.co/image/ab67616d0000b273e26041718f4ad8104ab88a6f,"classical, italian opera, italian romanticism, post-romantic era"
Pyotr Ilyich Tchaikovsky,The Nutcracker Suite: I. Overture,https://i.scdn.co/image/ab67616d0000b2731b031d839f8a185ddddec6c2,"classical, classical drill, late romantic era, russian romanticism"
Jess Gillam,In the Bleak Midwinter (Arr. Rimmer),https://i.scdn.co/image/ab67616d0000b2737df67fcbabd0eed70566cfe4,classical saxophone
Alexander Scriabin,"Prélude in B-Flat Major, Op. 11, No. 21 - Upright Version",https://i.scdn.co/image/ab67616d0000b273191f9471dcccc6e45608d7ba,"classical, contemporary classical, early modern classical, impressionism, late romantic era, russian romanticism"
HAUSER,O Holy Night,https://i.scdn.co/image/ab67616d0000b273901beb37c8f3c073c82b0e8a,classical cello
William J. Kirkpatrick,Away in a Manger (Arr. Davis),https://i.scdn.co/image/ab67616d0000b273354021e132e7394a06118fb2,lds instrumental
Sophie Hutchings,The Golden Eternity,https://i.scdn.co/image/ab67616d0000b273e3bf72d519c26644afad4cec,"compositional ambient, neo-classical"
Gustav Mahler,"Symphony No. 2 in C Minor ""Resurrection"": V. Finale. In Tempo des Scherzos",https://i.scdn.co/image/ab67616d0000b27382f6d1998d859f39b517b8b9,"classical, post-romantic era"
Claude Debussy,"Debussy: String Quartet in G Minor, Op. 10, CD 91, L. 85: III. Andantino doucement expressif",https://i.scdn.co/image/ab67616d0000b273675387e7361a24ab561c94ce,"classical, impressionism, post-romantic era"
Olivia Belli,Amber Maze,https://i.scdn.co/image/ab67616d0000b273f96d6b8ba8510dca0e8fc9d6,neo-classical
