Artist Name,Track Name,Cover Art URL,Genre
Karnamrita,Gopi Gita,https://i.scdn.co/image/ab67616d0000b2730fe99e9581c265d9826c509e,hare krishna
Ramya,Jaya Radha Madhava,https://i.scdn.co/image/ab67616d0000b2734c37f4aa6e9b466fae86bea3,hare krishna
Craig Pruess & Ananda,Devi Prayer,https://i.scdn.co/image/ab67616d0000b273db2b8bc1b95fc59b6bf91169,"kirtan, meditation"
Ramya,Hare Krishna Maha-Mantra,https://i.scdn.co/image/ab67616d0000b2734c37f4aa6e9b466fae86bea3,hare krishna
Sowmya,Mahishasura Mardhini Stotram,https://i.scdn.co/image/ab67616d0000b2734b0e443cae6d651cfe4de884,carnatic
Sheila Chandra,Om Namaha Shiva,https://i.scdn.co/image/ab67616d0000b273b64bf4e2ab6c44832d7b7fcb,"world, world fusion"
Jagjit Singh,Hey Krishna Gopal Hari,https://i.scdn.co/image/ab67616d0000b273f63afe2601b9fe4620f09419,"classic bollywood, filmi, ghazal, hare krishna, sufi"
Arundhati Devi,Priya Priya,https://i.scdn.co/image/ab67616d0000b2730e50432cc153007a36f57ff3,hare krishna
Yogi Hari,Maha Mantra,https://i.scdn.co/image/ab67616d0000b2733849f2ffa71cb15d3c619efd,"bhajan, hare krishna, mantra"
Singers of the Art of Living,Om Nama Shivaya,https://i.scdn.co/image/ab67616d0000b27306cb812fb8315987197de35c,N/A
Yogi Hari,Track 3,https://i.scdn.co/image/ab67616d0000b273fd48b5043a13f0b4760d22d4,"bhajan, hare krishna, mantra"
Chakrini,Radha Raman,https://i.scdn.co/image/ab67616d0000b2730e16c855e3b3c6aede690eb4,N/A
Srila Prabhupada,Hare Krsna Kirtan,https://i.scdn.co/image/ab67616d0000b2734f7f2e8dcf609745ae59a8e3,"hare krishna, kirtan"
Srila Prabhupada,Nama Sankirtana,https://i.scdn.co/image/ab67616d0000b2734f7f2e8dcf609745ae59a8e3,"hare krishna, kirtan"
Mooji Mala,Shivoham,https://i.scdn.co/image/ab67616d0000b27346d673db393f98d691ca4a93,kirtan
M. S. Subbulakshmi,Vishnu Sahasranamam (Dhyanam),https://i.scdn.co/image/ab67616d0000b273a324c170d526fb489fbad162,"carnatic, carnatic vocal, indian classical"
Mahanadhi Shobana,Sri Gajananam,https://i.scdn.co/image/ab67616d0000b273f317eb12075a453a6da8b10c,tamil devotional
Bhagavan Das,Krishna Arati,https://i.scdn.co/image/ab67616d0000b273a635072bd77768837e6e5f07,"hare krishna, kirtan"
Vidura Barrios,Om Namah Shivaya Mantra Repetition,https://i.scdn.co/image/ab67616d0000b27351a6c79a97e1c10685481359,mantra
Vidura Barrios,"Asato Ma Sad Gamaya - From Ignorance, Lead Me to Truth; from Darkness, Lead Me to Light; from Death, Lead Me to Immortality (feat. Kim Engler & Nate Morgan)",https://i.scdn.co/image/ab67616d0000b273d6a45a414d06a6cc3ddeec2f,mantra
Vidura Barrios,May All Beings Be Happy - Loka Samasta Sukhino Bhavantu,https://i.scdn.co/image/ab67616d0000b273981147df76e5d110c43fbd07,mantra
The Radha Krsna Temple (London),Bhaja Hure Mana,https://i.scdn.co/image/ab67616d0000b2738604ad1cb515dfcc1e57605b,hare krishna
Shantala,Krishna Radhe Shyam Reprise,https://i.scdn.co/image/ab67616d0000b27324925f7119dd1ccedd4d7700,"kirtan, shamanic, world devotional"
Yogi Hari,Raadhe Krishna Bol,https://i.scdn.co/image/ab67616d0000b273dbfd7c73d908ad0983d2afe7,"bhajan, hare krishna, mantra"
Pandit Jasraj,Chanting of the Gayatri Mantra 108 Times,https://i.scdn.co/image/ab67616d0000b273af52675c9c97ac437c9ea512,"hindustani classical, hindustani vocal, indian classical, khayal"
Bhagavan Das,Raghupati Ram,https://i.scdn.co/image/ab67616d0000b273a635072bd77768837e6e5f07,"hare krishna, kirtan"
As Kindred Spirits,Worship the Golden Lord (Bhaja Gauranga),https://i.scdn.co/image/ab67616d0000b273db57cb4ae5668133e3011a41,"hare krishna, kirtan"
Vaiyasaki Das,Mama Mana Mandire,https://i.scdn.co/image/ab67616d0000b273399b79a31f2be5ff69764bf2,"hare krishna, kirtan"
Bhakti,Om Shri Mahalaxmi Namah,https://i.scdn.co/image/ab67616d0000b273d7ff95d5b7fe5ca18369be37,kirtan
Purna Das Baul,Hari Balo Re,https://i.scdn.co/image/ab67616d0000b273a488dc29fddecb5e9a165d75,"bengali folk, classic bangla pop"
Ashwini Bhide-Deshpande,TumcHiya Gava,https://i.scdn.co/image/ab67616d0000b273e3f94ce62d27fca6171fb47c,"hindustani classical, hindustani vocal, indian classical, khayal"
Rajalakshmee Sanjay,Annapoorna Stotram,https://i.scdn.co/image/ab67616d0000b2731beb29647fd532e6d2839104,mantra
Sheila Chandra,"Shanti, Shanti, Shanti (Reprise)",https://i.scdn.co/image/ab67616d0000b273d31f4cf6f040ec207d90283a,"world, world fusion"
Amar Pal,Hriday Pinjiray Bosi,https://i.scdn.co/image/ab67616d0000b273a5aa127ef89babf82effb863,bengali folk
Amar Pal,Raai Jaago Go,https://i.scdn.co/image/ab67616d0000b273a4605bbd52035aa076e8f7e8,bengali folk
Lakshmi Shankar,Mira Bhajan (1),https://i.scdn.co/image/ab67616d0000b273616a5b225a29e1cc514dd96a,"hindustani classical, hindustani vocal, indian classical"
Shruti Sadolikar,"Beet Gaye Din - Raag Hari Kauns: Tewar Taal, 7 Beats",https://i.scdn.co/image/ab67616d0000b273eba43f1129cc4ab4e810cfec,"hindustani classical, hindustani vocal, indian classical, khayal"
Shruti Sadolikar,"Akhiyan Hari Darshan Ki Pyasi - Raag Vachaspati: Matta Taal, 9 Beats",https://i.scdn.co/image/ab67616d0000b273eba43f1129cc4ab4e810cfec,"hindustani classical, hindustani vocal, indian classical, khayal"
Shruti Sadolikar,"Ajahoon Na Nikase - Raag Saraswati: Vishnu Taal, 17 Beats",https://i.scdn.co/image/ab67616d0000b273eba43f1129cc4ab4e810cfec,"hindustani classical, hindustani vocal, indian classical, khayal"
Sowmya,Panaikkai – Hari Kamboji(Kurunji Pan) – Adi,https://i.scdn.co/image/74398c2e21b2366594e064ad58e384c65f6e0c44,carnatic
Vani Jairam,Karuna Suno Shyam More,https://i.scdn.co/image/ab67616d0000b273a3b09e7f2316c65a00cc50fe,"classic kollywood, filmi"
Vani Jairam,Ranaji Main To Govind,https://i.scdn.co/image/ab67616d0000b273a3b09e7f2316c65a00cc50fe,"classic kollywood, filmi"
Russill Paul,Arunachala,https://i.scdn.co/image/ab67616d0000b2734d3cdca88654acdb1e54cb78,kirtan
Donna De Lory,Om Nama Shivaya,https://i.scdn.co/image/ab67616d0000b273712d716ca8b9ce883488a1a7,"hare krishna, kirtan"
Nadaka,Annapurna,https://i.scdn.co/image/ab67616d0000b2731ff2e660bb97bc0e0a6daed9,"kirtan, meditation"
The Fugs,Hare Krishna - 2006 Remaster,https://i.scdn.co/image/ab67616d0000b273bf0c4625466ad9042d888dd5,"experimental rock, protopunk, psychedelic rock"
Devaki Pandit,Raag Miyan Malhar,https://i.scdn.co/image/ab67616d0000b273c84c036eee10e2b3edad80be,"bhajan, mantra"
Bhagavan Das,Krishna Kali (feat. Kali Dharma),https://i.scdn.co/image/ab67616d0000b27316bfb4354e322b6a52b818d1,"hare krishna, kirtan"
