Artist Name,Track Name,Cover Art URL,Genre
David Guetta,I'm Good (Blue),https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4,"big room, dance pop, edm, pop, pop dance"
deadmau5,The Veldt Cinema - BYNX Edit,https://i.scdn.co/image/ab67616d0000b2739af01b18153649e6ae4708d9,"canadian electronic, complextro, edm, electro house, pop dance, progressive house"
Calvin Harris,Miracle (with Ellie Goulding),https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance"
Bebe Rexha,One in a Million,https://i.scdn.co/image/ab67616d0000b273c0c46d4ff076e349b6b95658,"dance pop, pop"
Hardwell,I Wanna Dance,https://i.scdn.co/image/ab67616d0000b273607053cd9e9a56fb510d86e5,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Steve Aoki,Motor,https://i.scdn.co/image/ab67616d0000b273629165a933e3be929ed6c3f5,"edm, electro house, pop dance"
Timmy Trumpet,Eternity,https://i.scdn.co/image/ab67616d0000b273a79b72d0b6c31b5917fa645d,"australian dance, big room, dutch house, melbourne bounce, melbourne bounce international"
Swedish House Mafia,Ray Of Solar,https://i.scdn.co/image/ab67616d0000b2730fc292cdb91adc5fb804351e,"edm, pop dance, progressive electro house"
R3HAB,Shockwave (with Afrojack),https://i.scdn.co/image/ab67616d0000b2734e326ec88eebbf964a96a19b,"dutch house, edm, electro house, pop dance, progressive electro house, slap house"
David Guetta,Baby Don't Hurt Me (feat. Anne-Marie & Coi Leray) - Joel Corry Remix,https://i.scdn.co/image/ab67616d0000b273ced9039d33381d305acc800e,"big room, dance pop, edm, pop, pop dance"
R3HAB,Rock My Body (with SASH!) [W&W x R3HAB VIP Remix],https://i.scdn.co/image/ab67616d0000b273c4388edba8d1feba9b17f290,"dutch house, edm, electro house, pop dance, progressive electro house, slap house"
Knock2,buttons!,https://i.scdn.co/image/ab67616d0000b2738f9827d81934a9a4887a919f,bassline
Martin Garrix,Real Love,https://i.scdn.co/image/ab67616d0000b273817c4738f30e101af5b4d1a1,"dutch edm, edm, pop, pop dance, progressive house"
Seven Lions,Over Now,https://i.scdn.co/image/ab67616d0000b273755c17bb9da1c346d6a19c13,"brostep, complextro, dubstep, edm, electro house, melodic dubstep, pop dance, progressive trance"
Tiësto,Lay Low,https://i.scdn.co/image/ab67616d0000b273c8fdaf1b33263d88246ba90a,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance"
Jax Jones,Won't Forget You,https://i.scdn.co/image/ab67616d0000b273cb23b61f174de4ff29600f36,"dance pop, edm, house, pop dance, uk dance, uk pop"
Alan Walker,The Spectre,https://i.scdn.co/image/ab67616d0000b273a6a151ed88a170ae3a81eff5,electro house
Nicky Romero,Desire,https://i.scdn.co/image/ab67616d0000b2739a44b14615271a3e56037232,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house"
Dillon Francis,I'm My Only Friend (feat. Arden Jones),https://i.scdn.co/image/ab67616d0000b2736b37db961d2f5f8b4dca0756,"brostep, edm, electro house, moombahton, pop dance, progressive electro house, slap house"
twocolors,Cynical,https://i.scdn.co/image/ab67616d0000b273ba65d77d9fd2a8deada1b7a9,"edm, pop dance, pop edm"
Tiësto,Drifting,https://i.scdn.co/image/ab67616d0000b27313671c57c95ad8523d7ef824,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance"
deadmau5,I Remember - John Summit Remix,https://i.scdn.co/image/ab67616d0000b273ec80bd87409b32f5330fe45b,"canadian electronic, complextro, edm, electro house, pop dance, progressive house"
Autograf,Runaway,https://i.scdn.co/image/ab67616d0000b273bf9f6723a85273a1a37dbd47,"deep tropical house, pop edm, vapor soul, vapor twitch"
Swedish House Mafia,Heaven Takes You Home (feat. Connie Constance),https://i.scdn.co/image/ab67616d0000b273bd6f8ac82dc5fe1028c14f7d,"edm, pop dance, progressive electro house"
Lost Frequencies,The Feeling,https://i.scdn.co/image/ab67616d0000b273104966d0854fa0aedd6d5050,"belgian edm, edm, pop dance, tropical house"
Supermode,Tell Me Why - MEDUZA Remix,https://i.scdn.co/image/ab67616d0000b273010a5f4abb5bc82685e30137,N/A
FISHER,Atmosphere,https://i.scdn.co/image/ab67616d0000b27337c2bdd58c470e2cbee904e5,"australian house, house"
Jonas Blue,Weekends,https://i.scdn.co/image/ab67616d0000b273bdfb5d671bc1eb477eb1579d,"pop, pop dance, tropical house, uk dance"
Trinix,The Magic Key,https://i.scdn.co/image/ab67616d0000b273172ec92da271e71498440056,"bass trap, new french touch"
W&W,Ritmo De La Noche (Vamos A La Playa),https://i.scdn.co/image/ab67616d0000b273d54769f4ecbb42588d966ea7,"big room, dutch house, dutch trance, edm, electro house, pop dance, progressive electro house"
Dimitri Vegas & Like Mike,She Knows - with Akon,https://i.scdn.co/image/ab67616d0000b27342c7e70e369cf8e185e65106,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house"
LUM!X,Techno Sound,https://i.scdn.co/image/ab67616d0000b273b774bfcc0f66460a5fe7240f,"melbourne bounce international, slap house"
Dom Dolla,Eat Your Man (with Nelly Furtado),https://i.scdn.co/image/ab67616d0000b27339f146ab788622f26a705e57,"australian house, deep groove house, house"
FISHER,TAKE IT OFF,https://i.scdn.co/image/ab67616d0000b2733b5d839a2b6b19511567a3d4,"australian house, house"
Loreen,Tattoo - Topic Remix,https://i.scdn.co/image/ab67616d0000b27392913f9e5cafca4580df9ad3,"europop, swedish pop"
Felix Jaehn,All For Love,https://i.scdn.co/image/ab67616d0000b27327220051ba5b2718af23c9fb,"edm, german dance, pop dance, tropical house"
Aqua,Barbie Girl - Tiësto Remix,https://i.scdn.co/image/ab67616d0000b2737596aff2aff3e08afadfe010,"bubblegum dance, eurodance, europop"
Kx5,Escape (feat. Hayla),https://i.scdn.co/image/ab67616d0000b273ddd33bce31c72519c861d9db,N/A
Loud Luxury,If Only I (feat. Bebe Rexha),https://i.scdn.co/image/ab67616d0000b273a6f2a7f0fbcdff8b3f0b39fe,"edm, pop dance"
Maddix,My Gasoline,https://i.scdn.co/image/ab67616d0000b27300e60f4a4b29cb97e1fb58b5,big room
Tiësto,Pump It Louder,https://i.scdn.co/image/ab67616d0000b273fb64a4f6237e2388b32ed742,"big room, brostep, dutch edm, edm, house, pop dance, slap house, trance"
southstar,Typa Girl,https://i.scdn.co/image/ab67616d0000b273faab93c5dd8c70d123cda850,pop dance
Swedish House Mafia,Turn On The Lights again.. (feat. Future & Fred again..) - Anyma Remix,https://i.scdn.co/image/ab67616d0000b2736e9ee7f3ab0cd0d77c5368a9,"edm, pop dance, progressive electro house"
Armin van Buuren,On & On,https://i.scdn.co/image/ab67616d0000b273a9487dbf82f57bf7b3863201,"dutch house, dutch trance, edm, pop dance, progressive house, trance"
Martin Garrix,Hurricane,https://i.scdn.co/image/ab67616d0000b2737993573de9a95edee577f04d,"dutch edm, edm, pop, pop dance, progressive house"
Lucas & Steve,After Midnight (feat. Xoro),https://i.scdn.co/image/ab67616d0000b2734933226b12e94f2ed4cfdeca,"dutch house, edm, electro house, pop dance, progressive electro house"
FAST BOY,Good Life,https://i.scdn.co/image/ab67616d0000b273a66c9a1bd154033c0223da7a,pop dance
The Chainsmokers,My Bad,https://i.scdn.co/image/ab67616d0000b2731033349c41083e6d0ec2ce53,pop
Robin Schulz,Smash My Heart,https://i.scdn.co/image/ab67616d0000b273ed7a4b881d24a27ef30b8efb,"deep euro house, deep house, edm, german dance, pop dance, tropical house"
Sam Feldt,Memories,https://i.scdn.co/image/ab67616d0000b27316862c76904b986295338cad,"edm, pop dance, tropical house"
Dimitri Vegas & Like Mike,Mexico,https://i.scdn.co/image/ab67616d0000b273739c17c3d6a944de9d09b07d,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house"
Gabry Ponte,Sunglasses At Night,https://i.scdn.co/image/ab67616d0000b273fc1977d56803369c6e4652f9,"eurodance, italo dance, slap house"
Lil Wayne,A Milli - SIDEPIECE Remix,https://i.scdn.co/image/ab67616d0000b273b9cd8cb926a8a454bccb854d,"hip hop, new orleans rap, pop rap, rap, trap"
Timmy Trumpet,Fuego,https://i.scdn.co/image/ab67616d0000b27387925046bbaf692f3878972d,"australian dance, big room, dutch house, melbourne bounce, melbourne bounce international"
The Chainsmokers,See You Again,https://i.scdn.co/image/ab67616d0000b273039b906e6c18169239b467fb,pop
Robin Schulz,One with the Wolves,https://i.scdn.co/image/ab67616d0000b273cd074cc1d77ef0b7dfd24562,"deep euro house, deep house, edm, german dance, pop dance, tropical house"
Nicky Romero,All You Need Is Love,https://i.scdn.co/image/ab67616d0000b273f056973c1f62490e61eda68e,"big room, dutch edm, dutch house, edm, electro house, pop dance, progressive electro house"
Kaskade,Sacrifice,https://i.scdn.co/image/ab67616d0000b2733a7cf0d02eed9a6298bb2808,"edm, electro house, pop dance, progressive electro house, progressive house, vocal house"
FISHER,Yeah The Girls,https://i.scdn.co/image/ab67616d0000b2736fab68f536dc38e41609d5cb,"australian house, house"
The Chainsmokers,Self Destruction Mode,https://i.scdn.co/image/ab67616d0000b273e96ba7e4f70daad7616b5a4f,pop
Steve Aoki,Paranoia,https://i.scdn.co/image/ab67616d0000b273eb11c42ab6e566301dedd96a,"edm, electro house, pop dance"
Loud Luxury,Afterparty,https://i.scdn.co/image/ab67616d0000b27386c6b645bd8f5ea5266c31d2,"edm, pop dance"
Alan Walker,"Better Off (Alone, Pt. III)",https://i.scdn.co/image/ab67616d0000b273526ac872ec66d9da3e3f828c,electro house
ILLENIUM,All That Really Matters,https://i.scdn.co/image/ab67616d0000b273307d185de661d5ac417f02bb,"edm, melodic dubstep, pop dance"
Öwnboss,Left & Right,https://i.scdn.co/image/ab67616d0000b273e1266662c16c5b01227e1f94,brazilian edm
Alesso,Without You,https://i.scdn.co/image/ab67616d0000b273e547efa3416b6b9a0a7079b5,"dance pop, edm, pop, pop dance, progressive electro house"
Steve Aoki,Locked Up (ft. Akon),https://i.scdn.co/image/ab67616d0000b273e913e1bd44389b2837f419df,"edm, electro house, pop dance"
Hardwell,Revolution,https://i.scdn.co/image/ab67616d0000b273933f207b20e0dba80585705f,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Frank Walker,I Go Dancing (feat. Ella Henderson),https://i.scdn.co/image/ab67616d0000b2736061d616bd5821bf7296274d,N/A
Dimitri Vegas & Like Mike,Sweet Caroline,https://i.scdn.co/image/ab67616d0000b27378af5dab45e2aebd05647de0,"belgian dance, belgian edm, big room, dutch house, edm, electro house, pop dance, progressive electro house"
Tujamo,Freak,https://i.scdn.co/image/ab67616d0000b27339af36d947aaa20aaaf4f30f,"dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house"
Martin Garrix,Starlight (Keep Me Afloat),https://i.scdn.co/image/ab67616d0000b273966ee66d723744788a24dfcc,"dutch edm, edm, pop, pop dance, progressive house"
Steve Aoki,Lighter,https://i.scdn.co/image/ab67616d0000b273cd23697000a493dd8d5d53fb,"edm, electro house, pop dance"
Topic,Lucid Dream,https://i.scdn.co/image/ab67616d0000b2730dc942a1b4c80b52364f10f4,"german dance, pop dance, pop edm, uk dance"
Hardwell,Nothing Else Matters vs F*CKING SOCIETY - Hardwell Mashup,https://i.scdn.co/image/ab67616d0000b27324d03806413bb1e8230af7a5,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Alan Walker,Dreamer,https://i.scdn.co/image/ab67616d0000b2736ee3f219eee85d9261da3578,electro house
W&W,Gangster,https://i.scdn.co/image/ab67616d0000b2739d555f328fea72f24ed1a0ce,"big room, dutch house, dutch trance, edm, electro house, pop dance, progressive electro house"
Dabin,Hollow,https://i.scdn.co/image/ab67616d0000b273ce4877264bfba567bbf593d8,"canadian electronic, melodic dubstep, pop edm"
Don Diablo,Beyond the Fire,https://i.scdn.co/image/ab67616d0000b273d9ba8b7ee2c08632629a79ed,"dutch house, edm, electro house, future house, pop dance, progressive electro house"
CMC$,Dirty Talk (with Sam Feldt),https://i.scdn.co/image/ab67616d0000b2738d26d496ce2f31120a6d5da3,vapor twitch
Swedish House Mafia,Ray Of Solar - Mau P Remix,https://i.scdn.co/image/ab67616d0000b2733757812e5ccb7693d50b4305,"edm, pop dance, progressive electro house"
Hardwell,Shotgun (It Ain't Over),https://i.scdn.co/image/ab67616d0000b2737eda26bb476e8c4832e6d4ba,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Bebe Rexha,One in a Million - David Guetta Remix,https://i.scdn.co/image/ab67616d0000b2734288a9d8fa11ce6b20d5e873,"dance pop, pop"
John Summit,Where You Are - Zedd Remix,https://i.scdn.co/image/ab67616d0000b273f0a59fd9e14b2a91036b1c17,"house, pop dance, tech house, uk dance"
Taylor Swift,Anti-Hero - ILLENIUM Remix,https://i.scdn.co/image/ab67616d0000b273eb7289d463cd524a93b722c9,pop
070 Shake,Cocoon - Martin Garrix & Space Ducks Remix,https://i.scdn.co/image/ab67616d0000b273ef153d3eb5f2b13b88f13cd8,new jersey rap
Toby Romeo,Alive,https://i.scdn.co/image/ab67616d0000b2733e9b9bc9082164c836d45d62,pop dance
Timmy Trumpet,Good Morning (feat. YOU),https://i.scdn.co/image/ab67616d0000b273c70a7436c20bbff24fac0860,"australian dance, big room, dutch house, melbourne bounce, melbourne bounce international"
Kx5,Alive (feat. The Moth & The Flame),https://i.scdn.co/image/ab67616d0000b2733257a0ad4aa2ccad6a24908b,N/A
ILLENIUM,Luv Me a Little,https://i.scdn.co/image/ab67616d0000b2732c63e6bc06a8b23366662cd5,"edm, melodic dubstep, pop dance"
Duke Dumont,"The Chant - For Club Play Only, Pt. 8",https://i.scdn.co/image/ab67616d0000b273832eb83597555d0cdce392d0,"edm, house, pop dance, progressive house, uk dance"
Hardwell,Judgement Day,https://i.scdn.co/image/ab67616d0000b2739834e08228bc03a2ec00bb6b,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
RL Grime,Pour Your Heart Out (feat. 070 Shake),https://i.scdn.co/image/ab67616d0000b2733bafdf871e25a01377687919,"brostep, edm, electro house, electronic trap"
Skrillex,RATATA,https://i.scdn.co/image/ab67616d0000b2732dc516078ce841911ffbf2fd,"brostep, complextro, edm, electro, pop dance"
Deorro,Hands Up,https://i.scdn.co/image/ab67616d0000b27322fa42d714d610f2b40e9ea1,"dutch house, edm, electro house, melbourne bounce, melbourne bounce international, pop dance, progressive electro house"
NURKO,Save Me (From Myself) (feat. Kyle Hume),https://i.scdn.co/image/ab67616d0000b273fea598091cdef70b34d47a81,"melodic dubstep, pop edm"
PARISI,U Ok?,https://i.scdn.co/image/ab67616d0000b2736659066e93c6d4665275e27f,N/A
Galantis,Fool 4 U (feat. Enisa),https://i.scdn.co/image/ab67616d0000b273b14bc4f7ebd3bd954e872c56,"dance pop, edm, pop, pop dance"
