Artist Name,Track Name,Cover Art URL,Genre
Aditya Gadhvi,Khalasi | Coke Studio Bharat,https://i.scdn.co/image/ab67616d0000b273a6f83b62be5e3dea563f6d79,"gujarati garba, gujarati pop"
Hari & Sukhmani,Latthay Di Chaadar,https://i.scdn.co/image/ab67616d0000b273d745020d8e789bb87a9a2b7c,"indian folk, indian fusion, indian indie"
Namita Choudhary,Ae Re Sakhi,https://i.scdn.co/image/ab67616d0000b273f64a4b1998461be756ce73e2,desi pop
digV,Rupsa Ra Moti,https://i.scdn.co/image/ab67616d0000b273e062e0eafa6876312578d890,N/A
Kailash Kher,Dilruba,https://i.scdn.co/image/ab67616d0000b273a853b902decce7830d171841,"filmi, indian folk, modern bollywood, sufi"
Achint,Railgaadi,https://i.scdn.co/image/ab67616d0000b273c88d4580304b27ed80cd37c6,"indian folk, indian indie"
Kavita Seth,Rangi Saari,https://i.scdn.co/image/ab67616d0000b27368306b9b495f303159a892e3,"filmi, hindi indie, modern bollywood, sufi"
Amit Trivedi,Moti Veraana (From Songs of Faith),https://i.scdn.co/image/ab67616d0000b2732fef6b1ba156aaf20d5cfd6a,"filmi, modern bollywood"
Narci,Ram Darshan,https://i.scdn.co/image/ab67616d0000b2734f1501e365f82aaa1c900825,N/A
Faridkot,Nasha (Equals Sessions),https://i.scdn.co/image/ab67616d0000b27326747fd1bdb033f08f2632fb,"hindi indie, indian folk, indian indie, indian rock, new delhi indie"
Nyn Music,Kitse,https://i.scdn.co/image/ab67616d0000b273abf5b41e1752f22b4852cb31,N/A
Dhruv Ghanekar,"Mitho Laage - The Dewarists, Season 5",https://i.scdn.co/image/ab67616d0000b2732e9b9fded424e182027286ca,"indian folk, indian fusion"
Salim–Sulaiman,Bulaava Aaya,https://i.scdn.co/image/ab67616d0000b2733eaa54bea0a4efaa4476213d,"filmi, indian folk, modern bollywood"
Kabir Cafe,Aisi Mhari Preet (Eternal Love) - Sabr,https://i.scdn.co/image/ab67616d0000b27376ae0112cea58d95a0559f37,"indian folk, indian indie, pune indie"
Amit Trivedi,Maari Maavadi,https://i.scdn.co/image/ab67616d0000b2738bdd6c945c3b69337a743935,"filmi, modern bollywood"
Mame Khan,Kesariya Balam,https://i.scdn.co/image/ab67616d0000b27321a4826c313982a326ece290,"indian folk, indian indie, rajasthani pop"
Lost Stories,Mehndi Te Vavi,https://i.scdn.co/image/ab67616d0000b2738077e8549698c995337c4480,"hindi indie, indian edm, indian indie"
Salim–Sulaiman,Chanda Jhaanke,https://i.scdn.co/image/ab67616d0000b27387256b118b292665328cd7e6,"filmi, indian folk, modern bollywood"
Kanika,Runak Jhunak,https://i.scdn.co/image/ab67616d0000b27306acfed589cfdb57ed59a1c2,N/A
Kavita Seth,Ek Nazar,https://i.scdn.co/image/ab67616d0000b2730e975e52ab67c2a3841f6ea0,"filmi, hindi indie, modern bollywood, sufi"
Maati Baani,Boondan Boondan (feat. Ankita Joshi),https://i.scdn.co/image/ab67616d0000b2738871d737812a6dcfccf1b279,"indian folk, indian indie"
Shreyas Puranik,Chhaap Tilak,https://i.scdn.co/image/ab67616d0000b27379925c181aecd306b3a119cf,N/A
Agnee,Sadho Re,https://i.scdn.co/image/ab67616d0000b273310388fc9ed4739ae25919d9,"indian indie, indian rock"
Dhaval Kothari,Kon Halave Limdi - Reprise,https://i.scdn.co/image/ab67616d0000b273bd47d6deda58b6b4f2032e06,"gujarati garba, gujarati pop, indian folk"
Amit Trivedi,Samjhe Na,https://i.scdn.co/image/ab67616d0000b2739e118da22871e55926f02142,"filmi, modern bollywood"
Britto Khangchian,Maye Ni Meriye,https://i.scdn.co/image/ab67616d0000b273269c80df23a834cc279293b1,N/A
Divya Kumar,Bhammariyo,https://i.scdn.co/image/ab67616d0000b2739d55ea3bd976b9a2337b618e,"filmi, indian folk, modern bollywood"
Rangle Sardar,Karam (Equals Sessions),https://i.scdn.co/image/ab67616d0000b27351a3cefd11965530fc96242a,indian folk
Aabha Hanjura,Mere Makaan,https://i.scdn.co/image/ab67616d0000b273af74929b014697c06c8edc22,"indian folk, kashmiri pop"
Samahita Narang,Matwari,https://i.scdn.co/image/ab67616d0000b273c9cb7fb9e65e4a10ee5bf07e,indian folk
Shashwat Sachdev,Lone Poet (Aeri Aali),https://i.scdn.co/image/ab67616d0000b273763f141c5c878fe946df1466,"desi pop, modern bollywood"
Kanishk Seth,Saacha Sahib,https://i.scdn.co/image/ab67616d0000b273e8b99ae56cb9f594644ccf3e,"desi pop, hindi indie, indian indie, modern bollywood"
Amrita Kak,Chhap Tilak,https://i.scdn.co/image/ab67616d0000b273f2a2c5d7142f365d9d80a120,modern bollywood
Amit Trivedi,Radhe (From Songs of Faith),https://i.scdn.co/image/ab67616d0000b2738f597a619e1b1ba6c674e9d1,"filmi, modern bollywood"
Kabir Cafe,Ghat Ghat,https://i.scdn.co/image/ab67616d0000b273066099978988c1048857b325,"indian folk, indian indie, pune indie"
Aabhas - Shreyas,Jag Baurana,https://i.scdn.co/image/ab67616d0000b273ad7c6db18f24932e65c05ba0,N/A
Salim–Sulaiman,Muraliya,https://i.scdn.co/image/ab67616d0000b27341e93b807d4f74ea2ac598ae,"filmi, indian folk, modern bollywood"
Swarathma,Kaash,https://i.scdn.co/image/ab67616d0000b27353cfdb5d19a7301bbe3a3f49,"bangalore indie, hindi indie, indian folk, indian fusion, indian indie, indian rock"
Aabha Hanjura,Hukus Bukus,https://i.scdn.co/image/ab67616d0000b2736f5626f5b4e89dd172df30a1,"indian folk, kashmiri pop"
Paroma Dasgupta,Ekla Cholo Re,https://i.scdn.co/image/ab67616d0000b27360c25dc0c37014f61564b6d9,N/A
Nyasa,Saawariya,https://i.scdn.co/image/ab67616d0000b273b205fec234eb6c303061d724,N/A
Amit Trivedi,Mooch (From Sonic Roots - Songs of Soil),https://i.scdn.co/image/ab67616d0000b2738ba56e4e74e3b8097bb3d442,"filmi, modern bollywood"
Shantanu Moitra,Natkhat Nadiya,https://i.scdn.co/image/ab67616d0000b27367035c85620ef62cf69792bf,"filmi, modern bollywood"
Atmanam,Saawariyo,https://i.scdn.co/image/ab67616d0000b2731bc03fa445318519f0294738,indian folk
Midival Punditz,Purvayi,https://i.scdn.co/image/ab67616d0000b273d65aed8442605b6e2f8c7ac4,"hindi indie, indian electronic, indian fusion, indian indie, indian rock, new delhi indie, world fusion"
Kushal Chokshi,Haalyo Jaa (Secret Sessions X Collab Stories),https://i.scdn.co/image/ab67616d0000b273d404344b83bf8281ac31a929,gujarati pop
Kabir Cafe,Peele Amiras - Sabr,https://i.scdn.co/image/ab67616d0000b2731f4453e54b0fbee6f73c31b2,"indian folk, indian indie, pune indie"
Salim–Sulaiman,Chidiya Da Chamba,https://i.scdn.co/image/ab67616d0000b27320a90c3714d5f5fe558f8b6f,"filmi, indian folk, modern bollywood"
Masala Coffee,Safar,https://i.scdn.co/image/ab67616d0000b273a90099d88e37f0e0cd97a9f5,"indian folk, malayalam pop, mollywood"
Mame Khan,Sajaniya,https://i.scdn.co/image/ab67616d0000b273ee16b94f166976f5743f9700,"indian folk, indian indie, rajasthani pop"
