Artist Name,Track Name,Cover Art URL,Genre
PinkPantheress,Mosquito,https://i.scdn.co/image/ab67616d0000b273815b8f23623f2a217e1e3579,bedroom pop
Cardi B,Bongos (feat. Megan Thee Stallion),https://i.scdn.co/image/ab67616d0000b273c4bcdce05e247cef2eed06ac,"pop, rap"
Burna Boy,Big 7,https://i.scdn.co/image/ab67616d0000b273462b338fc02442f938ec93d7,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
Saweetie,BIRTHDAY,https://i.scdn.co/image/ab67616d0000b273fd99fa5d91652c4eadb4d4a0,"cali rap, trap queen"
Lil Uzi Vert,Endless Fashion (feat. Nicki Minaj),https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69,"hip hop, melodic rap, philly rap, rage rap, rap"
Burna Boy,City Boys,https://i.scdn.co/image/ab67616d0000b27339550ce4ccf28a1a4b82a443,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
Wiz Khalifa,Hype Me Up,https://i.scdn.co/image/ab67616d0000b27371e6bddfe242211f79d19a17,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap"
NLE Choppa,WE SEE YOU,https://i.scdn.co/image/ab67616d0000b273e5eab924974edfc2f27606a1,"memphis hip hop, rap"
Macklemore,NO BAD DAYS (feat. Collett),https://i.scdn.co/image/ab67616d0000b273033b871ae27b16ddd8139806,"pop rap, seattle hip hop"
Flyana Boss,You Wish (with Missy Elliott & Kaliii) – Remix,https://i.scdn.co/image/ab67616d0000b273b6db82fbd67fc58a66166f0e,trap queen
Flowdan,Pepper,https://i.scdn.co/image/ab67616d0000b2733dd3e0a8ed152be2fdfce926,grime
Janelle Monáe,Champagne Shit (feat. Latto & Quavo) - Remix,https://i.scdn.co/image/ab67616d0000b27392d51898c15a715093eb7157,"afrofuturism, alternative r&b, atl hip hop, neo soul, r&b"
NLE Choppa,IT'S GETTING HOT,https://i.scdn.co/image/ab67616d0000b27300dacf29748b5035bf7c2bb5,"memphis hip hop, rap"
K.I.Z,Görlitzer Park,https://i.scdn.co/image/ab67616d0000b273554d379d833779f1243c28e7,german hip hop
Casper,echt von unten / zoé freestyle,https://i.scdn.co/image/ab67616d0000b27330a3357bb8e77338d9d43dc5,"german alternative rap, german pop"
Gucci Mane,Must Be Me,https://i.scdn.co/image/ab67616d0000b2730633476981bf5ea194764310,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
Sonny Digital,Gotta Slide,https://i.scdn.co/image/ab67616d0000b273e45aab5937e111adb2f2e3c3,atl hip hop
NLE Choppa,SHAKE IT,https://i.scdn.co/image/ab67616d0000b2732511685aee5656442b894bcb,"memphis hip hop, rap"
Knucks,I Suppose,https://i.scdn.co/image/ab67616d0000b273c6d7f7d56f03eda724d07841,"melodic drill, uk alternative hip hop"
DA Uzi,La ruée vers l'or,https://i.scdn.co/image/ab67616d0000b273c2c4540aff2be7c9300a7888,"french hip hop, pop urbaine, rap francais"
Campbell,Would You (go to bed with me?) - MGB Edit,https://i.scdn.co/image/ab67616d0000b27346ecb499dd1396bfd13d583b,N/A
Nemzzz,MONEY AND VIBES,https://i.scdn.co/image/ab67616d0000b27305d49ccd3b666e9c289b926c,"manchester hip hop, melodic drill"
Burna Boy,Sittin' On Top Of The World (feat. 21 Savage),https://i.scdn.co/image/ab67616d0000b2732d1ecf66864dcf41a2cd093a,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
Day1,SOUTHSIDE DILLA,https://i.scdn.co/image/ab67616d0000b273ceecfd833ef674159ac8b3b7,"aussie drill, brisbane hip hop"
Flyana Boss,Big One,https://i.scdn.co/image/ab67616d0000b273508953411af25ae42bca72cc,trap queen
LUM,4 Sho,https://i.scdn.co/image/ab67616d0000b2731d6fa4ebc1827804051125ab,N/A
BigWalkDog,Day in the Life,https://i.scdn.co/image/ab67616d0000b273baa4ff5426ecc0eb44b53e1d,memphis hip hop
NCognita,Like Mmm (feat. Narissa),https://i.scdn.co/image/ab67616d0000b273d872a2d8c5d914138ea884df,indie hip hop
BOY SODA,SIP,https://i.scdn.co/image/ab67616d0000b273a26c6c6bacf8f426b82dcbce,australian r&b
Kaliii,Say Too Much,https://i.scdn.co/image/ab67616d0000b273cb3abb3d362e89b9474fdb71,"rap, viral rap"
Baby Gang,"Bentley (feat. Simba La Rue, J Lord)",https://i.scdn.co/image/ab67616d0000b2733fd7d0b27356a451adfb51da,trap italiana
Weezy,17,https://i.scdn.co/image/ab67616d0000b27397312305ca6f63f50bcce5ce,N/A
Earl Sweatshirt,Mancala (feat. Vince Staples),https://i.scdn.co/image/ab67616d0000b2734efc09d529b6ac305f76df90,"alternative hip hop, drumless hip hop, experimental hip hop, hip hop, rap, underground hip hop"
Mick Jenkins,Show & Tell (feat. Freddie Gibbs),https://i.scdn.co/image/ab67616d0000b27339874c1a4c0d11479b200b5c,"alternative hip hop, alternative r&b, chicago rap, conscious hip hop, drill, hip hop, underground hip hop"
KitschKrieg,"Dance (with Nemzzz, Skillibeng & Stefflon Don)",https://i.scdn.co/image/ab67616d0000b2730730667a5d5525c8d723a2d7,"german hip hop, hamburg hip hop"
A Boogie Wit da Hoodie,Her Birthday,https://i.scdn.co/image/ab67616d0000b273672ad8e93e48e5ef970f82df,"melodic rap, rap, trap"
MIST,I Admit (feat. MoStack),https://i.scdn.co/image/ab67616d0000b2737bbca5f2a0b474c4a5b60aef,"birmingham grime, birmingham hip hop, birmingham indie, grime, uk hip hop"
Waïv,L’ALBUM ARRIVE,https://i.scdn.co/image/ab67616d0000b2739d0e45411ce384ac469817fd,rap francais
Gucci Mane,BRRR B,https://i.scdn.co/image/ab67616d0000b2730788ce449a364aaca12b556a,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
MIST,Pull Up (feat. Backroad Gee),https://i.scdn.co/image/ab67616d0000b273ee9f62d02279c9acc576932c,"birmingham grime, birmingham hip hop, birmingham indie, grime, uk hip hop"
$NOT,CRUEL WORLD,https://i.scdn.co/image/ab67616d0000b273c8786c9402d806f8fe9d30c0,"aesthetic rap, cloud rap, florida rap, underground hip hop"
Fastmoney Ant,Nosey Hoe,https://i.scdn.co/image/ab67616d0000b273e232aa027692cc0202659b46,N/A
Babyfxce E,Pipe Down (feat. Skilla Baby),https://i.scdn.co/image/ab67616d0000b273c73d192dcc39fe931321bf9c,detroit hip hop
Skan,So Cold,https://i.scdn.co/image/ab67616d0000b273f90833b95f306c43922d55c4,traprun
Kodak Black,Down With You,https://i.scdn.co/image/ab67616d0000b273960130f904d32a620e437814,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino"
Gucci Mane,Woppenheimer,https://i.scdn.co/image/ab67616d0000b2730df919ee6443d6ec2fb0a4fa,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
KATO2X,Snatch WHO Chain,https://i.scdn.co/image/ab67616d0000b2739855943bc05b1760723f45a1,memphis hip hop
BiC Fizzle,Soulja Talk,https://i.scdn.co/image/ab67616d0000b27346734ec8e76488b77bf5f494,arkansas hip hop
Burna Boy,Talibans II,https://i.scdn.co/image/ab67616d0000b27353a3f26444bdd18fa8fae490,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
Casper,sommer (feat. CRO),https://i.scdn.co/image/ab67616d0000b273d12326b610b7dd7859aa82fd,"german alternative rap, german pop"
KitschKrieg,Trenchezzz (with Nemzzz),https://i.scdn.co/image/ab67616d0000b273f8fce26b70970967538100f9,"german hip hop, hamburg hip hop"
Lil Gnar,PB&J (feat. Young Nudy),https://i.scdn.co/image/ab67616d0000b273da3240d234cd8f4befdba4b9,"atl hip hop, melodic rap"
Mick Jenkins,Guapanese,https://i.scdn.co/image/ab67616d0000b27375513093f263454241226e3d,"alternative hip hop, alternative r&b, chicago rap, conscious hip hop, drill, hip hop, underground hip hop"
Kevin Gates,God Slippers,https://i.scdn.co/image/ab67616d0000b2737919b5da12d60f2c116a8b60,"baton rouge rap, rap, southern hip hop, trap"
Luh Tyler,Rapper of the Year,https://i.scdn.co/image/ab67616d0000b273d84a412918ebe44925472e42,florida drill
Alien,Vaisseau pirate,https://i.scdn.co/image/ab67616d0000b2733ebaa41b32e5cdeddf32966b,N/A
Tion Wayne,AMEN,https://i.scdn.co/image/ab67616d0000b2738699fa838d06341511ad3f8f,"london rap, uk hip hop"
Gucci Mane,Married with Millions,https://i.scdn.co/image/ab67616d0000b273053f7e1ed9f90f343bc5cec1,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
BiC Fizzle,Knowing (feat. BigWalkDog),https://i.scdn.co/image/ab67616d0000b27354bdfe02e59bc0c03a34a090,arkansas hip hop
Babyfxce E,Charge It To The Game,https://i.scdn.co/image/ab67616d0000b273d5a5b9fca77232684bc14d1b,detroit hip hop
Gucci Mane,There I Go (feat. J. Cole & Mike WiLL Made-It),https://i.scdn.co/image/ab67616d0000b273193e89fd03c5fe90b9803534,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
YNG Martyr,Frostbite,https://i.scdn.co/image/ab67616d0000b27335c1494eb6242baaa9049750,meme rap
Burna Boy,Cheat On Me (feat. Dave),https://i.scdn.co/image/ab67616d0000b273d18c08fc5eb9fc81d2773627,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
JBEE,J4's,https://i.scdn.co/image/ab67616d0000b27335a2f1b4d5d602f77e84fa6d,"chill drill, melodic drill"
Babyfxce E,Hot Outside,https://i.scdn.co/image/ab67616d0000b27300e977ecedfca34050a05560,detroit hip hop
Luh Tyler,Brand New Blues,https://i.scdn.co/image/ab67616d0000b27321900d07ab185fe266f59474,florida drill
Saweetie,SHOT O' CLOCK,https://i.scdn.co/image/ab67616d0000b27326608f3c91f754697ec1ae64,"cali rap, trap queen"
VVES,EDN,https://i.scdn.co/image/ab67616d0000b273010e9d815aa6e1be602af521,N/A
Gunna,fukumean,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,"atl hip hop, melodic rap, rap, trap"
Rsko,Ça va,https://i.scdn.co/image/ab67616d0000b273b7e919a12dc9ba03b334eb8c,r&b francais
Kaliii,K Toven,https://i.scdn.co/image/ab67616d0000b273eb47f8e8fcc9decc42192dc4,"rap, viral rap"
KATO2X,Kill Time,https://i.scdn.co/image/ab67616d0000b27393765d089e6ad927e4b838e2,memphis hip hop
GANG51E JUNE,Crushed Down,https://i.scdn.co/image/ab67616d0000b273cb24cc5008a9c515847c5875,N/A
Young Thug,Oh U Went (feat. Drake),https://i.scdn.co/image/ab67616d0000b27337895eee206eabf2682e3064,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap"
Zzz.,Sad & Alone,https://i.scdn.co/image/ab67616d0000b273744dd0d070503f09652bb5b9,N/A
Mac Critter,Soap,https://i.scdn.co/image/ab67616d0000b2738da13ae7cf4555298bdc868b,memphis hip hop
Mac Critter,Run On It,https://i.scdn.co/image/ab67616d0000b2732a975eee6a425ac2514bdfea,memphis hip hop
Creed Tha Kid,Impatient,https://i.scdn.co/image/ab67616d0000b273c513b37ab7cddd15450ba9f3,"australian r&b, brisbane hip hop"
CHIKA,PRODIGY,https://i.scdn.co/image/ab67616d0000b2738e30dc5d7c6c37849264782d,"alabama rap, alternative r&b"
Big Freedia,El Niño (feat. Lil Wayne & Boyfriend),https://i.scdn.co/image/ab67616d0000b2733ece9a1fbdcc3ff37b908c1e,"bounce, escape room, lgbtq+ hip hop, new orleans rap, trap queen"
web7,nous on bosse,https://i.scdn.co/image/ab67616d0000b273179732fe8fe15a6c9312af1f,N/A
KitschKrieg,More Than That (with SwitchOTR),https://i.scdn.co/image/ab67616d0000b273cc7581cf6ef4275338c56e83,"german hip hop, hamburg hip hop"
Ty Dolla $ign,Motion (feat. Chris Brown),https://i.scdn.co/image/ab67616d0000b27304c74c64ea27bcc35caa3f89,"hip hop, pop rap, r&b, southern hip hop, trap, trap soul"
2Rare,Don't Run,https://i.scdn.co/image/ab67616d0000b27318d04511cde0c0ffcc0d41f7,"philly drill, philly rap"
The Streets,Troubled Waters,https://i.scdn.co/image/ab67616d0000b2736c8d07dc088b86099201e53d,"birmingham hip hop, uk garage"
Mick Jenkins,Smoke Break-Dance (feat. JID),https://i.scdn.co/image/ab67616d0000b273ca68752a9ad2fb8578197cb8,"alternative hip hop, alternative r&b, chicago rap, conscious hip hop, drill, hip hop, underground hip hop"
Roderick Porter,OVER AGAIN,https://i.scdn.co/image/ab67616d0000b273ac1d41885a83ab3eb27ed91f,aesthetic rap
MALTY 2BZ,Bamba,https://i.scdn.co/image/ab67616d0000b273d3ab26880586807bae155748,rap francais
Rico Cartel,Wicked Deeds (feat. Rylo Rodriguez),https://i.scdn.co/image/ab67616d0000b2731f3845839297362a99bcf34d,"florida drill, florida rap"
CHIKA,DEMIGOD,https://i.scdn.co/image/ab67616d0000b2738306d8e6dfe2f15153ae8983,"alabama rap, alternative r&b"
LUM,Stronger (feat. KILJ),https://i.scdn.co/image/ab67616d0000b273a6726a0012156ca218732b64,N/A
Ninho,Eurostar (feat. Central Cee),https://i.scdn.co/image/ab67616d0000b27318d7aeed9b54d67eb3f65e44,"french hip hop, pop urbaine"
A Boogie Wit da Hoodie,MVP (feat. G-Eazy),https://i.scdn.co/image/ab67616d0000b27374a95bf100313d7263d0d967,"melodic rap, rap, trap"
Symba,Hell Of A Feeling (feat. LaRussell),https://i.scdn.co/image/ab67616d0000b273817ad2ef9c8d2732335eace2,N/A
The FifthGuys,Armageddon,https://i.scdn.co/image/ab67616d0000b2737a8dd0ab8ab2a48c99085fb9,N/A
Kevin Gates,Thinking with My Dick (feat. Juicy J),https://i.scdn.co/image/ab67616d0000b273648c824765ffe493d9947b62,"baton rouge rap, rap, southern hip hop, trap"
Bizzy Banks,Feelings,https://i.scdn.co/image/ab67616d0000b2738967ef3ae61f5461163d0391,"brooklyn drill, new york drill"
Central Cee,LET GO,https://i.scdn.co/image/ab67616d0000b273cbb3701743a568e7f1c4e967,melodic drill
