Artist Name,Track Name,Cover Art URL,Genre
Taylor Swift,Cruel Summer,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,pop
Tyla,Water,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e,N/A
Tate McRae,greedy,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,"alt z, pop"
Doja Cat,Paint The Town Red,https://i.scdn.co/image/ab67616d0000b2737acee948ecac8380c1b6ce30,"dance pop, pop"
Bad Bunny,MONACO,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,"reggaeton, trap latino, urbano latino"
Kenya Grace,Strangers,https://i.scdn.co/image/ab67616d0000b2734756c2e9ae436437cd75e9f3,singer-songwriter pop
The Weeknd,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,"canadian contemporary r&b, canadian pop, pop"
Drake,First Person Shooter (feat. J. Cole),https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
The Kid LAROI,TOO MUCH,https://i.scdn.co/image/ab67616d0000b273389e41e5096b6112ce0e1008,australian hip hop
Mitski,My Love Mine All Mine,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,"brooklyn indie, pov: indie"
SZA,Snooze,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,"pop, r&b, rap"
Doja Cat,Agora Hills,https://i.scdn.co/image/ab67616d0000b27394203dd82d27b494c777d07c,"dance pop, pop"
Zach Bryan,I Remember Everything (feat. Kacey Musgraves),https://i.scdn.co/image/ab67616d0000b273e5a25ed08d1e7e0fbb440cef,"classic oklahoma country, modern country pop"
iñigo quintero,Si No Estás,https://i.scdn.co/image/ab67616d0000b2735cb9531348f45311cd6fb8df,N/A
Olivia Rodrigo,bad idea right?,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,pop
