Artist Name,Track Name,Cover Art URL,Genre
LOONY,Counting Thunder,https://i.scdn.co/image/ab67616d0000b2732143a6f6335122cca5a2e906,"canadian contemporary r&b, indie r&b"
Chxrry22,Favorite Girl (feat. Offset),https://i.scdn.co/image/ab67616d0000b273b8261db62239243fd78912dc,N/A
Chris Brown,Sensational (feat. Davido & Lojay),https://i.scdn.co/image/ab67616d0000b27316e242d8d25ab66ba4484e48,"pop rap, r&b, rap"
Tems,Me & U,https://i.scdn.co/image/ab67616d0000b2734dfcb8700811f123ed8eca16,"afro r&b, alte, nigerian pop"
Naomi Sharon,Push (feat. Omah Lay),https://i.scdn.co/image/ab67616d0000b2730f5580cf4e76e13151cc8b43,"dutch r&b, indie r&b"
Shay Lia,HIGH,https://i.scdn.co/image/ab67616d0000b273126cc859135fc98e9155e8d9,"alternative r&b, canadian contemporary r&b, canadian pop, montreal indie"
Lola Brooke,You (feat. Bryson Tiller),https://i.scdn.co/image/ab67616d0000b27341fa25c229df2bc1ab1081c0,trap queen
Mary J. Blige,Still Believe In Love,https://i.scdn.co/image/ab67616d0000b2732a5c553286f12a4bc821eaad,"dance pop, hip pop, neo soul, r&b, urban contemporary"
Drake,Members Only (feat. PARTYNEXTDOOR),https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
JON VINYL,Let This Go,https://i.scdn.co/image/ab67616d0000b2734fe27d1efceaba140c731007,canadian contemporary r&b
Majid Jordan,Waiting For You (feat. Naomi Sharon),https://i.scdn.co/image/ab67616d0000b2730d7a20d281819efa1b2968d7,canadian contemporary r&b
Summer Walker,Girls Need Love (Girls Mix) (feat. Tink),https://i.scdn.co/image/ab67616d0000b2737d75fa31eabf0a264e18bc98,"r&b, rap"
Jordin Sparks,Call My Name,https://i.scdn.co/image/ab67616d0000b27303d02b4f5bf3b6d4008ee3a2,"dance pop, pop, post-teen pop"
IzyBeats,Tipsy,https://i.scdn.co/image/ab67616d0000b2731af16b416971d8e07115c19c,N/A
Naomi Sharon,Regardless,https://i.scdn.co/image/ab67616d0000b27325e08347814dda30c665ba79,"dutch r&b, indie r&b"
Mariah the Scientist,Out of Luck,https://i.scdn.co/image/ab67616d0000b273b71813659cbbbd04cabf831c,alternative r&b
SAFE,Separate (feat. Bibi Bourelly),https://i.scdn.co/image/ab67616d0000b2736dc7a2d808569bed54fe3c80,canadian hip hop
Diddy,Moments (feat. Justin Bieber),https://i.scdn.co/image/ab67616d0000b273ac6a6549a4cacee199916f0b,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, rap, trap"
Rotimi,Bestie,https://i.scdn.co/image/ab67616d0000b273431876e409a3a27ebad17fa5,pop r&b
Chxrry22,Never Had This,https://i.scdn.co/image/ab67616d0000b27375f9373655a40963f7139ca4,N/A
Avenoir,AFTER HOURS,https://i.scdn.co/image/ab67616d0000b2732838bcdc14743f3e74b897a9,N/A
Drake,Slime You Out (feat. SZA),https://i.scdn.co/image/ab67616d0000b2733b2df9103b8b1bad69ec4aa9,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
6LACK,Homicide (with Jessie Reyez),https://i.scdn.co/image/ab67616d0000b273f1adf46862862320d485aca2,"atl hip hop, melodic rap, r&b, rap, trap"
Tyla,Water,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e,N/A
Brent Faiyaz,WY@,https://i.scdn.co/image/ab67616d0000b273bc9621a29fb10ff43c809940,"r&b, rap"
Tee Grizzley,IDGAF (feat. Chris Brown and Mariah the Scientist),https://i.scdn.co/image/ab67616d0000b273f59967b2b2cede9a4fe4c699,"detroit hip hop, detroit trap, rap, southern hip hop, trap"
RealestK,It's You (feat. BIA),https://i.scdn.co/image/ab67616d0000b273de5f00a7789abd9734e26ab3,N/A
Victor Thompson,THIS YEAR (Blessings) - Remix,https://i.scdn.co/image/ab67616d0000b273da4a0db02c05649049d72d1b,naija worship
Cleo Sol,Desire,https://i.scdn.co/image/ab67616d0000b2738128b3a01e0246795dfab1a2,"alternative r&b, uk contemporary r&b, uk funky"
Drake,Bahamas Promises,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
Jorja Smith,Broken is the man,https://i.scdn.co/image/ab67616d0000b273c2ac5aca1a22a5668148f233,"r&b, uk contemporary r&b"
Majid Jordan,Hands Tied,https://i.scdn.co/image/ab67616d0000b2737317e58e20d6db9b4a52e380,canadian contemporary r&b
SZA,Snooze (Acoustic) (feat. Justin Bieber),https://i.scdn.co/image/ab67616d0000b2734f68e7b4b983953a0f188447,"pop, r&b, rap"
USHER,Good Good,https://i.scdn.co/image/ab67616d0000b2730a5b9c6778c775710b20cb44,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary"
JMSN,Love Me,https://i.scdn.co/image/ab67616d0000b2732544b8c4ecaf9f39e8862eb9,"indie soul, neo r&b"
Burna Boy,Cheat On Me (feat. Dave),https://i.scdn.co/image/ab67616d0000b273d18c08fc5eb9fc81d2773627,"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop"
Honey Bxby,Touchin’,https://i.scdn.co/image/ab67616d0000b27318e8dc746d3776f75ff208af,N/A
Ne-Yo,Link Up,https://i.scdn.co/image/ab67616d0000b2736119bf6550ebc6f6e27975cf,"dance pop, pop, r&b, urban contemporary"
Jermaine Dupri,Pick it Up,https://i.scdn.co/image/ab67616d0000b273013a3a886632e7f9ecfa7ebc,"atl hip hop, contemporary r&b, dirty south rap, hip pop, r&b, southern hip hop, urban contemporary"
Tinashe,Talk To Me Nice,https://i.scdn.co/image/ab67616d0000b273f32104e2f0d1283520e67858,"alternative r&b, dance pop, metropopolis, pop, r&b, urban contemporary"
Charlotte Cardin,Way Back,https://i.scdn.co/image/ab67616d0000b273ca6459583ed21c7df9998ea7,"canadian pop, indie quebecois"
Ivory Scott,My Mind,https://i.scdn.co/image/ab67616d0000b273d6ef0464b38f84f286cf86c1,N/A
Jessie Reyez,JEANS (with Miguel),https://i.scdn.co/image/ab67616d0000b273c4ed139c937b57e8c63948e6,"canadian contemporary r&b, canadian pop"
Hunnah,Someone Else,https://i.scdn.co/image/ab67616d0000b2733f48060283984ddfea7d4896,canadian contemporary r&b
Jacquees,Tell Me It's Over (feat. Summer Walker & 6LACK),https://i.scdn.co/image/ab67616d0000b27375fc6560322d6a01594b40bc,"atl hip hop, pop r&b, pop rap, r&b, rap, trap"
Brent Faiyaz,Moment Of Your Life,https://i.scdn.co/image/ab67616d0000b2736af53eeab4aa5e2070fec077,"r&b, rap"
Yoko Gold,Mirage,https://i.scdn.co/image/ab67616d0000b27302ccd307852b026c41bb2bdb,N/A
PARTYNEXTDOOR,R e s e n t m e n t,https://i.scdn.co/image/ab67616d0000b273f46a49e6c05028778e6f5cdf,"r&b, rap, urban contemporary"
Charlotte Day Wilson,Forever,https://i.scdn.co/image/ab67616d0000b2738ed0534e679bba6f5d2d2191,"alternative r&b, canadian contemporary r&b, indie soul"
Sage Harris,100 BPM,https://i.scdn.co/image/ab67616d0000b273e4fc7776b8a6a955c09dad9c,N/A
Snoh Aalegra,Be My Summer,https://i.scdn.co/image/ab67616d0000b273dd4ad6ecdb9b4ef7167da77c,"alternative r&b, scandinavian r&b, swedish soul"
Roy Woods,That Thang (feat. Jada Kingdom),https://i.scdn.co/image/ab67616d0000b27373d1561893e79903e52179a4,"canadian contemporary r&b, canadian hip hop"
Travis Scott,K-POP,https://i.scdn.co/image/ab67616d0000b273893489768de0c42b4d217b82,"hip hop, rap, slap house"
Fridayy,When It Comes To You,https://i.scdn.co/image/ab67616d0000b27306be5d37ce9e28b0e23ee383,N/A
Kiana Ledé,Jealous (with Ella Mai),https://i.scdn.co/image/ab67616d0000b273ceff036293ce101839253095,"pop r&b, r&b"
Dylan Sinclair,Fly Girl,https://i.scdn.co/image/ab67616d0000b2734253407bdf45a479247f6d41,"canadian contemporary r&b, indie r&b"
Mario,Main One (feat. Tyga),https://i.scdn.co/image/ab67616d0000b2736e7eebc219500335633a21ce,"dance pop, hip pop, r&b, southern hip hop, urban contemporary"
Ciara,How We Roll,https://i.scdn.co/image/ab67616d0000b273cf78630c607d26cfe17f0d2b,"dance pop, hip pop, pop, r&b, urban contemporary"
The Weeknd,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,"canadian contemporary r&b, canadian pop, pop"
Ashanti,Falling For You,https://i.scdn.co/image/ab67616d0000b273e1879bb9c00ed43f711c5328,"dance pop, hip pop, r&b, urban contemporary"
Young Thug,Parade on Cleveland (feat. Drake),https://i.scdn.co/image/ab67616d0000b27337895eee206eabf2682e3064,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap"
Mahalia,In My Bag,https://i.scdn.co/image/ab67616d0000b2730535fecca45bfbe79a7eea37,"alternative r&b, indie anthem-folk, uk contemporary r&b"
Aqyila,Hello,https://i.scdn.co/image/ab67616d0000b273144025e4befb63d8e1f7e432,N/A
Victoria Monét,On My Mama,https://i.scdn.co/image/ab67616d0000b2733d99c95b3509083df347e586,alternative r&b
K. Forest,Thug Passion,https://i.scdn.co/image/ab67616d0000b2734ac2fe3a0435e998f776e262,"canadian contemporary r&b, canadian hip hop, trap soul"
