Artist Name,Track Name,Cover Art URL,Genre
The Rolling Stones,Angry,https://i.scdn.co/image/ab67616d0000b27300379b8904a73a542198c068,"album rock, british invasion, classic rock, rock"
Måneskin,HONEY (ARE U COMING?),https://i.scdn.co/image/ab67616d0000b2731350e398d694d167daba925a,"indie rock italiano, italian pop"
Fall Out Boy,We Didn’t Start The Fire (Bonus Track),https://i.scdn.co/image/ab67616d0000b273fd0ad203a3d2a2343d889a95,"emo, modern rock, pop, rock"
Shaka Ponk,Dad’Algorhythm,https://i.scdn.co/image/ab67616d0000b2735a1231c083d90292f1576b16,french rock
Sum 41,Landmines,https://i.scdn.co/image/ab67616d0000b273efebe5389336056e6554c115,"alternative metal, canadian pop punk, canadian punk, modern rock, nu metal, pop punk, post-grunge, punk, rock"
blink-182,ONE MORE TIME,https://i.scdn.co/image/ab67616d0000b273958241aa80311b139ef14857,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
TALK,A Little Bit Happy,https://i.scdn.co/image/ab67616d0000b27319b0bf263b325f4d71f715ca,singer-songwriter pop
Ayron Jones,Blood In The Water,https://i.scdn.co/image/ab67616d0000b2738d3567b584f032595eb377a2,seattle indie
Bring Me The Horizon,DArkSide,https://i.scdn.co/image/ab67616d0000b27301aa13aa3a7c9f2df2db0d0f,"melodic metalcore, metalcore, modern rock, rock, uk metalcore"
Thirty Seconds To Mars,Stuck,https://i.scdn.co/image/ab67616d0000b27377252a2aed05bc40df26a8c0,"modern rock, post-grunge"
ONE OK ROCK,Make It Out Alive,https://i.scdn.co/image/ab67616d0000b27305af603f75faebf6092506ac,"j-pop, j-rock, japanese emo"
Skip the Use,Call Me,https://i.scdn.co/image/ab67616d0000b273472703158b06ca0320f75449,"french indie pop, french rock, rock independant francais"
K.Flay,Punisher,https://i.scdn.co/image/ab67616d0000b2736dddf78a502e02a5218824cf,"escape room, hip pop, modern alternative rock"
Mike Shinoda,Already Over,https://i.scdn.co/image/ab67616d0000b273c9b2b30f897fbdaa9574d89b,alternative hip hop
Green Day,The American Dream Is Killing Me,https://i.scdn.co/image/ab67616d0000b2739b911cd7562a8009e2202fb1,"modern rock, permanent wave, punk, rock"
U2,Atomic City,https://i.scdn.co/image/ab67616d0000b273a210c752f24b99a0ef746c54,"irish rock, permanent wave, rock"
Simple Plan,Iconic (feat. Jax),https://i.scdn.co/image/ab67616d0000b273016e2b72eff5f3e3ab31bdf5,"canadian pop punk, canadian punk, canadian rock, modern rock, neon pop punk, pop punk, pop rock"
Normandie,Blood In The Water,https://i.scdn.co/image/ab67616d0000b273212c0c38b7b9cb111fd99d07,N/A
YUNGBLUD,Happier (feat. Oli Sykes of Bring Me The Horizon),https://i.scdn.co/image/ab67616d0000b27360e31ae64a3b888f190f3266,"british indie rock, modern rock, pov: indie, rock"
MDNS,Ma pièce,https://i.scdn.co/image/ab67616d0000b273ef8384d0ba5af10c538f0496,N/A
The Hives,Bogus Operandi,https://i.scdn.co/image/ab67616d0000b273f129a883e9c0ae41f89e4c6c,"alternative rock, garage rock, garage rock revival, modern rock, rock, swedish garage rock, swedish hard rock, swedish indie rock"
Nothing But Thieves,Tomorrow Is Closed,https://i.scdn.co/image/ab67616d0000b2735340930dd48fb071fe422510,"alternative pop rock, modern alternative rock, modern rock"
Tip Stevens,Sugar Rush,https://i.scdn.co/image/ab67616d0000b2731e239c6d588122d075397b7d,N/A
All Time Low,Fake As Hell (with Avril Lavigne),https://i.scdn.co/image/ab67616d0000b273fc15e9f9cc119676339ea396,"modern rock, neon pop punk, pop emo, pop punk"
